launcher,rocket,frame,seconds
28,13,125,5.166666666666667
28,14,131,5.416666666666667
28,15,137,5.666666666666667
28,16,143,5.916666666666667
28,17,149,6.166666666666667
28,18,155,6.416666666666667
28,19,161,6.666666666666667
28,20,167,6.916666666666667
28,21,173,7.166666666666667
28,22,179,7.416666666666667
28,23,185,7.666666666666667
28,24,191,7.916666666666667
29,1,55,2.25
29,2,61,2.5
29,3,67,2.75
29,4,73,3.0
29,5,79,3.25
29,6,85,3.5
29,7,91,3.75
29,8,97,4.0
29,9,103,4.25
29,10,109,4.5
29,11,115,4.75
29,12,121,5.0
29,13,127,5.25
29,14,133,5.5
29,15,139,5.75
29,16,145,6.0
29,17,151,6.25
29,18,157,6.5
29,19,163,6.75
29,20,169,7.0
29,21,175,7.25
29,22,181,7.5
29,23,187,7.75
29,24,193,8.0
30,1,54,2.2083333333333335
30,2,60,2.4583333333333335
30,3,66,2.7083333333333335
30,4,72,2.9583333333333335
30,5,78,3.2083333333333335
30,6,84,3.4583333333333335
30,7,90,3.7083333333333335
30,8,96,3.9583333333333335
30,9,102,4.208333333333333
30,10,108,4.458333333333333
30,11,114,4.708333333333333
30,12,120,4.958333333333333
30,13,126,5.208333333333333
30,14,132,5.458333333333333
30,15,138,5.708333333333333
30,16,144,5.958333333333333
30,17,150,6.208333333333333
30,18,156,6.458333333333333
30,19,162,6.708333333333333
30,20,168,6.958333333333333
30,21,174,7.208333333333333
30,22,180,7.458333333333333
30,23,186,7.708333333333333
30,24,192,7.958333333333333
31,1,55,2.25
31,2,61,2.5
31,3,67,2.75
31,4,73,3.0
31,5,79,3.25
31,6,85,3.5
31,7,91,3.75
31,8,97,4.0
31,9,103,4.25
31,10,109,4.5
31,11,115,4.75
31,12,121,5.0
31,13,127,5.25
31,14,133,5.5
31,15,139,5.75
31,16,145,6.0
31,17,151,6.25
31,18,157,6.5
31,19,163,6.75
31,20,169,7.0
31,21,175,7.25
31,22,181,7.5
31,23,187,7.75
31,24,193,8.0
32,1,54,2.2083333333333335
32,2,60,2.4583333333333335
32,3,66,2.7083333333333335
32,4,72,2.9583333333333335
32,5,78,3.2083333333333335
32,6,84,3.4583333333333335
32,7,90,3.7083333333333335
32,8,96,3.9583333333333335
32,9,102,4.208333333333333
32,10,108,4.458333333333333
32,11,114,4.708333333333333
32,12,120,4.958333333333333
32,13,126,5.208333333333333
32,14,132,5.458333333333333
32,15,138,5.708333333333333
32,16,144,5.958333333333333
32,17,150,6.208333333333333
32,18,156,6.458333333333333
32,19,162,6.708333333333333
32,20,168,6.958333333333333
32,21,174,7.208333333333333
32,22,180,7.458333333333333
32,23,186,7.708333333333333
32,24,192,7.958333333333333
33,1,56,2.2916666666666665
33,2,62,2.5416666666666665
33,3,68,2.7916666666666665
33,4,74,3.0416666666666665
33,5,80,3.2916666666666665
33,6,86,3.5416666666666665
33,7,92,3.7916666666666665
33,8,98,4.041666666666667
33,9,104,4.291666666666667
33,10,110,4.541666666666667
33,11,116,4.791666666666667
